仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
ETH/USDT:USDT_1771346150000,ETH/USDT:USDT,多头,5.61523,1995.51,2026/2/18 0:35,1995.51,2026/2/18 0:35,已平仓,0,2,1771346150000,1771346151000
ETH/USDT:USDT_1771402974000,ETH/USDT:USDT,多头,3.28134,2026.26,2026/2/18 16:22,2020.26,2026/2/18 16:44,已平仓,-19.68804,2,1771402974000,1771404293000
ETH/USDT:USDT_1771404749000,ETH/USDT:USDT,空头,6.86856,2013.108005,2026/2/18 16:52,1988.88,2026/2/18 21:17,已平仓,166.4115032,5,1771404749000,1771420655000
SOL/USDT:USDT_1771418192000,SOL/USDT:USDT,空头,112.296,82.43849231,2026/2/18 20:36,83.1653,2026/2/18 21:17,已平仓,-81.617597,4,1771418192000,1771420655000
SOL/USDT:USDT_1771420669000,SOL/USDT:USDT,多头,124.779,83.14724247,2026/2/18 21:17,83.0926,2026/2/18 21:25,已平仓,-6.818234,3,1771420669000,1771421138000
ETH/USDT:USDT_1771421613000,ETH/USDT:USDT,空头,5.32635,1980.91,2026/2/18 21:33,1968.59,2026/2/18 21:59,已平仓,65.620632,2,1771421613000,1771423144000
SOL/USDT:USDT_1771421762000,SOL/USDT:USDT,空头,94.275,83.0136,2026/2/18 21:36,82.5117,2026/2/18 21:59,已平仓,47.3166225,2,1771421762000,1771423144000
ETH/USDT:USDT_1771423572000,ETH/USDT:USDT,多头,4.17726,1971.81,2026/2/18 22:06,1965.37,2026/2/18 22:29,已平仓,-26.901555,2,1771423572000,1771424959000
SOL/USDT:USDT_1771426137000,SOL/USDT:USDT,空头,106.597,81.838,2026/2/18 22:48,82.8558,2026/2/18 23:02,已平仓,-108.494427,2,1771426137000,1771426944000
SUI/USDT:USDT_1771426163000,SUI/USDT:USDT,空头,8028,0.9438,2026/2/18 22:49,0.9553,2026/2/18 23:02,已平仓,-92.322,2,1771426163000,1771426944000
ZEC/USDT:USDT_1771427166000,ZEC/USDT:USDT,多头,23.6424,283.414,2026/2/18 23:06,281.986,2026/2/19 0:04,已平仓,-33.761348,2,1771427166000,1771430644000
SOL/USDT:USDT_1771427236000,SOL/USDT:USDT,多头,111.775,82.7662,2026/2/18 23:07,82.363,2026/2/19 0:04,已平仓,-45.06768,2,1771427236000,1771430645000
ETH/USDT:USDT_1771429685000,ETH/USDT:USDT,多头,5.14569,1995.246126,2026/2/18 23:48,1977.44,2026/2/19 0:03,已平仓,-91.624807,3,1771429685000,1771430605000
SOL/USDT:USDT_1771435989000,SOL/USDT:USDT,多头,119.242,82.3471,2026/2/19 1:33,81.5758,2026/2/19 2:20,已平仓,-91.971355,2,1771435989000,1771438830000
ZEC/USDT:USDT_1771457475000,ZEC/USDT:USDT,空头,33.2346,262.0834577,2026/2/19 7:31,258.554,2026/2/19 21:27,已平仓,117.3001163,5,1771457475000,1771507628000
SOL/USDT:USDT_1771457616000,SOL/USDT:USDT,空头,145.082,81.5460823,2026/2/19 7:33,80.2938,2026/2/19 21:27,已平仓,181.6836211,4,1771457616000,1771507628000
SUI/USDT:USDT_1771457909000,SUI/USDT:USDT,空头,9583.5,0.92696048,2026/2/19 7:38,0.9057,2026/2/19 16:51,已平仓,203.74984,3,1771457909000,1771491097000
ETH/USDT:USDT_1771490990000,ETH/USDT:USDT,空头,6.08985,1965.310081,2026/2/19 16:49,1931.91,2026/2/19 21:27,已平仓,203.4014829,3,1771490990000,1771507628000
SOL/USDT:USDT_1771507991000,SOL/USDT:USDT,空头,86.563,80.3042,2026/2/19 21:33,79.7149,2026/2/19 21:52,已平仓,51.0115759,2,1771507991000,1771509145000
ETH/USDT:USDT_1771508421000,ETH/USDT:USDT,空头,4.49497,1917.92,2026/2/19 21:40,1918.05,2026/2/19 21:52,已平仓,-0.584347,2,1771508421000,1771509145000
SOL/USDT:USDT_1771509327000,SOL/USDT:USDT,空头,114.272,79.87666998,2026/2/19 21:55,80.2918,2026/2/19 22:13,已平仓,-47.437738,3,1771509327000,1771510426000
ETH/USDT:USDT_1771514006000,ETH/USDT:USDT,空头,4.83641,1913.9,2026/2/19 23:13,1923.030006,2026/2/19 23:35,已平仓,-44.156452,3,1771514006000,1771515314000
ETH/USDT:USDT_1771523580000,ETH/USDT:USDT,多头,5.54812,1915.5,2026/2/20 1:53,1943.95,2026/2/20 7:15,已平仓,157.844014,2,1771523580000,1771542913000
XRP/USDT:USDT_1771543603000,XRP/USDT:USDT,空头,7303.35,1.40378,2026/2/20 7:26,1.4172,2026/2/20 8:26,已平仓,-98.010957,2,1771543603000,1771547203000
ETH/USDT:USDT_1771562587000,ETH/USDT:USDT,多头,5.92638,1948.931547,2026/2/20 12:43,1966.47,2026/2/20 17:04,已平仓,103.939537,3,1771562587000,1771578264000
XRP/USDT:USDT_1771562593000,XRP/USDT:USDT,多头,7453.65,1.41280316,2026/2/20 12:43,1.42593,2026/2/20 17:04,已平仓,97.8428535,3,1771562593000,1771578264000
ETH/USDT:USDT_1771589838000,ETH/USDT:USDT,多头,4.72308,1946.02,2026/2/20 20:17,1939.27,2026/2/20 21:31,已平仓,-31.88079,2,1771589838000,1771594301000
SOL/USDT:USDT_1771589942000,SOL/USDT:USDT,多头,97.852,83.639,2026/2/20 20:19,82.5455,2026/2/20 21:31,已平仓,-107.001162,2,1771589942000,1771594301000
SOL/USDT:USDT_1771595249000,SOL/USDT:USDT,空头,65.354,81.7484,2026/2/20 21:47,82.881,2026/2/20 22:32,已平仓,-74.019941,2,1771595249000,1771597948000
ETH/USDT:USDT_1771599875000,ETH/USDT:USDT,多头,3.32753,1964.2,2026/2/20 23:04,1952.39,2026/2/20 23:07,已平仓,-39.29813,2,1771599875000,1771600044000
SOL/USDT:USDT_1771599883000,SOL/USDT:USDT,多头,71.801,84.0863,2026/2/20 23:04,83.6891,2026/2/20 23:07,已平仓,-28.519358,2,1771599883000,1771600044000
ETC/USDT:USDT_1771665614000,ETC/USDT:USDT,多头,291.29,9.61851,2026/2/21 17:20,9.32169,2026/2/21 21:50,已平仓,-86.460698,2,1771665614000,1771681839000
ETC/USDT:USDT_1771681895000,ETC/USDT:USDT,空头,380.82,9.33586,2026/2/21 21:51,9.356,2026/2/21 22:22,已平仓,-7.669715,2,1771681895000,1771683746000
ETC/USDT:USDT_1771684290000,ETC/USDT:USDT,空头,477.86,9.28045,2026/2/21 22:31,9.2309,2026/2/22 0:24,已平仓,23.677963,3,1771684290000,1771691060000
XRP/USDT:USDT_1771684364000,XRP/USDT:USDT,多头,7501.12,1.45612441,2026/2/21 22:32,1.43167,2026/2/22 6:43,已平仓,-183.435467,5,1771684364000,1771713786000
ETH/USDT:USDT_1771691856000,ETH/USDT:USDT,多头,5.66062,1985.237335,2026/2/22 0:37,1967.77,2026/2/22 8:21,已平仓,-98.875946,4,1771691856000,1771719704000
ZEC/USDT:USDT_1771732052000,ZEC/USDT:USDT,多头,29.9184,255.522,2026/2/22 11:47,252.749,2026/2/22 16:32,已平仓,-82.963724,2,1771732052000,1771749141000
ETH/USDT:USDT_1771734023000,ETH/USDT:USDT,多头,4.18409,1973.54,2026/2/22 12:20,1971.96,2026/2/22 20:07,已平仓,-6.610863,2,1771734023000,1771762033000
SOL/USDT:USDT_1771736054000,SOL/USDT:USDT,多头,99.066,85.1052,2026/2/22 12:54,84.7979,2026/2/22 20:07,已平仓,-30.442982,2,1771736054000,1771762033000
ZEC/USDT:USDT_1771750906000,ZEC/USDT:USDT,空头,30.1431,250.088,2026/2/22 17:01,251.802,2026/2/22 18:11,已平仓,-51.665274,2,1771750906000,1771755092000
ZEC/USDT:USDT_1771755099000,ZEC/USDT:USDT,多头,40.0195,251.5888519,2026/2/22 18:11,247.975,2026/2/22 20:03,已平仓,-144.624545,4,1771755099000,1771761785000
ZEC/USDT:USDT_1771762047000,ZEC/USDT:USDT,空头,39.772,247.3330383,2026/2/22 20:07,247.146,2026/2/22 22:39,已平仓,7.4388874,4,1771762047000,1771771158000
ETH/USDT:USDT_1771767483000,ETH/USDT:USDT,空头,4.55594,1957.06,2026/2/22 21:38,1946.53,2026/2/22 21:45,已平仓,47.9740482,2,1771767483000,1771767932000
