仓位ID,交易对,方向,数量,开仓价格,开仓时间,平仓价格,平仓时间,状态,PnL,交易次数,原始开仓时间戳,原始平仓时间戳
ETH/USDT:USDT_1735964969426,ETH/USDT:USDT,多头,0.211,3587.53,2025-1-4 12:29,3585.89,2025-1-4 12:31,已平仓,-0.34604,2,1735964969426,1735965076014
XRP/USDT:USDT_1735888581163,XRP/USDT:USDT,多头,1404.0999999999997,2.4225999999999996,2025-1-3 15:16,2.4137,2025-1-3 15:25,已平仓,-12.49649,13,1735888581163,1735889104024
XRP/USDT:USDT_1735889104024_reverse,XRP/USDT:USDT,空头,3.410605131648481e-13,2.4112,2025-1-3 15:25,2.42,2025-1-3 16:13,已平仓,-3.00E-15,18,1735889104024,1735892039253
XRP/USDT:USDT_1735892039253_reverse,XRP/USDT:USDT,多头,228.39999999999975,2.42,2025-1-3 16:13,2.4102,2025-1-3 16:28,已平仓,-2.23832,19,1735892039253,1735892917021
XRP/USDT:USDT_1735892917021_reverse,XRP/USDT:USDT,空头,2.2737367544323206e-13,2.4185000000000003,2025-1-3 16:28,2.4361,2025-1-3 19:32,已平仓,-4.00E-15,19,1735892917021,1735903946786
XRP/USDT:USDT_1735903946786_reverse,XRP/USDT:USDT,多头,1651.7999999999997,2.421412459135488,2025-1-3 19:32,2.4387,2025-1-3 22:39,已平仓,28.555560000000746,4,1735903946786,1735915194926
XRP/USDT:USDT_1735915194926_reverse,XRP/USDT:USDT,空头,2.2737367544323206e-13,2.4812,2025-1-3 22:39,2.4459,2025-1-4 12:45,已平仓,8.026290743146066e-15,12,1735915194926,1735965939242
XRP/USDT:USDT_1735965939242_reverse,XRP/USDT:USDT,多头,481.89999999999986,2.4459000000000004,2025-1-4 12:45,2.4545,2025-1-4 13:06,已平仓,4.144339999999756,9,1735965939242,1735967165805
XRP/USDT:USDT_1735967165805_reverse,XRP/USDT:USDT,空头,1.1368683772161603e-13,2.4545,2025-1-4 13:06,2.4596,2025-1-4 13:17,已平仓,-5.80E-16,2,1735967165805,1735967850167
XRP/USDT:USDT_1735967850167_reverse,XRP/USDT:USDT,多头,1.1368683772161603e-13,2.4156499939606237,2025-1-4 13:17,2.412,2025-1-7 12:17,已平仓,-4.15E-16,34,1735967850167,1736223447943
XRP/USDT:USDT_1736223447943_reverse,XRP/USDT:USDT,空头,4.547473508864641e-13,2.4113996865077763,2025-1-7 12:17,2.4175,2025-1-7 13:36,已平仓,-2.77E-15,11,1736223447943,1736228214987
XRP/USDT:USDT_1736228214987_reverse,XRP/USDT:USDT,多头,345.0999999999995,2.4184658484482062,2025-1-7 13:36,2.4326,2025-1-7 13:58,已平仓,4.877695700523982,17,1736228214987,1736229504676
XRP/USDT:USDT_1736229504676_reverse,XRP/USDT:USDT,空头,5.684341886080801e-13,2.2036,2025-1-7 13:58,,,持仓中,0,7,1736229504676,
CRV/USDT:USDT_1735981770200,CRV/USDT:USDT,多头,2374.1,1.053,2025-1-4 17:09,1.045,2025-1-4 18:08,已平仓,-18.9928,2,1735981770200,1735985293098
CRV/USDT:USDT_1735993378731,CRV/USDT:USDT,多头,1828.1,1.094,2025-1-4 20:22,1.097,2025-1-4 20:27,已平仓,5.484299999999801,4,1735993378731,1735993637364
CRV/USDT:USDT_1736050075329,CRV/USDT:USDT,多头,273.5,1.0449999999999997,2025-1-5 12:07,1.046,2025-1-5 12:32,已平仓,0.27350000000009134,13,1736050075329,1736051540775
CRV/USDT:USDT_1736058891362,CRV/USDT:USDT,多头,2918.2,1.0280000000000002,2025-1-5 14:34,1.025,2025-1-5 20:34,已平仓,-8.7546,14,1736058891362,1736080444316
CRV/USDT:USDT_1736086632194,CRV/USDT:USDT,空头,2932.5,1.023,2025-1-5 22:17,1.024,2025-1-5 22:24,已平仓,-2.9325,3,1736086632194,1736087091710
CRV/USDT:USDT_1736087133447,CRV/USDT:USDT,多头,3.623767952376511e-13,1.024,2025-1-5 22:25,1.033,2025-1-5 23:15,已平仓,3.2613911571388225e-15,24,1736087133447,1736090120155
CRV/USDT:USDT_1736090120155_reverse,CRV/USDT:USDT,空头,1717.7999999999995,1.0330000000000001,2025-1-5 23:15,1.027,2025-1-5 23:26,已平仓,10.306800000000388,10,1736090120155,1736090782327
CRV/USDT:USDT_1736090782327_reverse,CRV/USDT:USDT,多头,4.547473508864641e-13,1.027,2025-1-5 23:26,1.003,2025-1-6 16:30,已平仓,-1.09E-14,2,1736090782327,1736152256770
CRV/USDT:USDT_1736152256770_reverse,CRV/USDT:USDT,空头,1502.3,1.0013277647844971,2025-1-6 16:30,0.997,2025-1-6 16:55,已平仓,6.5016010357500615,5,1736152256770,1736153718473
CRV/USDT:USDT_1736153955417,CRV/USDT:USDT,空头,3023,0.9923324512074099,2025-1-6 16:59,1,2025-1-6 19:45,已平仓,-23.179,3,1736153955417,1736163958875
SOL/USDT:USDT_1732023119751,SOL/USDT:USDT,空头,4,242.71,2024-11-19 21:31,241.05,2024-11-19 21:57,已平仓,6.639999999999986,3,1732023119751,1732024668136
SOL/USDT:USDT_1732032288461,SOL/USDT:USDT,多头,8,241,2024-11-20 0:04,242.01,2024-11-20 1:10,已平仓,8.079999999999927,3,1732032288461,1732036207293
SOL/USDT:USDT_1732076003320,SOL/USDT:USDT,空头,15,233.136,2024-11-20 12:13,236.15,2024-11-20 15:57,已平仓,-45.21,3,1732076003320,1732089455820
SOL/USDT:USDT_1732089460434,SOL/USDT:USDT,多头,10,236.1,2024-11-20 15:57,238.03,2024-11-20 21:27,已平仓,19.300000000000068,2,1732089460434,1732109253774
